"Soru","A","B","C","D","E","Cevap"
"Türk İslam devletlerinden medreseden mezun olduktan sonra atama bekleyenlere verilen ad aşağıdakilerden hangisidir?","Fakih","Müderris","Muhaddis","Muid","Mülazım","E"
"I. Öşür II. Cizye III. Haraç Yukarıda verilenlerden hangileri Türk İslam devletlerinde alınan vergilerdendir?","Yalnız I","Yalnız II","Yalnız III","I ve III","I, II ve III","E"
"Selçuklularda devlet hanedanın ortak malı olmasına karşın, eyaletlerde yöneticilik yapan meliklerin kendi adlarına para basmalarına, hutbe okutmalarına, merkezin izni olmadan yabancı devletlerle dış ilişkiler kurmalarına izin verilmemiştir. Bu durumun temel nedeni aşağıdakilerden hangisidir?","Merkezi otoritenin devamlılığını koruma","Devletin teokratik yapısını koruma","Sınırların genişlemesi sağlama","Gayrimüslimleri yönetime dahil etme","Egemen bir bürokrat sınıfının oluşmasını önleme","A"
"Türklerin İslamiyet'i kabul etmesi ile birlikte; I. sanat, II. hukuk, III. mimari alanlarından hangilerinde değişim yaşadıkları söylenebilir?","Yalnız I","Yalnız II","I ve III","II ve III","I, II ve III","E"
"Karahanlı Devleti'nde ülke hanedanın ortak malı sayılmış, devletin doğusunu büyük han, batısını da kardeşi yönetmiştir. Divan toplantılarına hükümdarlar eşleri de katılmıştır. Bu durum Karahanlılarda; I. ilk Türk devletlerindeki devlet anlayışının devam ettiği, II. ülkenin ikili teşkilatla yönetildiği, III. hatunların ülke yönetiminde söz sahibi olduğu uygulamalarından hangilerinin görüldüğünü ortaya koymaktadır?","Yalnız I","I ve II","I ve III","II ve III","I, II ve III","E"
"Gazneliler Dönemi'nde 'Tarihi Yemin' adlı eserde dönemin olaylarını anlatan ve bu eserini Gazneli Mahmut'a sunan tarihçi aşağıdakilerden hangisidir?","Utbi","Ömer Hayyam","Firdevsi","Gazali","Biruni","A"
"I. Kervansaray II. İmarethane III. Külliye Yukarıda verilen mimari yapılardan hangileri ticareti geliştirme amacına yöneliktir?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","A"
"Türk İslam tarihinde ilk kez Selçuklularda görülmüştür. Üzeri silindir veya konik ile örtülü anıt mezardır. Genellikle din adamları ve devlet büyükleri için yapılmıştır. Sözü edilen mimari yapı aşağıdakilerden hangisidir?","Revak","Türbe","Ribat","Külliye","Kümbet","E"
"İlk Türk İslam devletlerinde fethedilen topraklar din, dil, ırk ayrımı yapılmadan bölge halkının kullanımına verilmiştir. Halk toprakları devletin belirlediği kurallar çerçevesinde işlemiştir. Bu uygulama ile öncelikle aşağıdakilerden hangisi hedeflenmiştir?","Tarımsal üretimi arttırmak","Askeri giderleri azaltmak","Bölge halkının devlete bağlılığını artırmak","Köyden kente göçü azaltmak","Veraset sistemini değiştirmek","C"
"Abbasilerdeki 'Fütüvvet' Türk İslam devletlerinde aşağıdaki hangi isiml bilinmektedir?","Cihan hakimiyeti","Ahilik","Nizam-ı alem","Külliye","Kızıl Elma","B"
"'Hakaniye lehçesi' aşağıdaki Türk İslam devletlerinden daha çok hangisi tarafından kullanılmıştır?","Babürler","Selçuklular","Harzemşahlar","Karahanlılar","Gazneliler","D"
"Eserde Karahanlıların saray ve merkez yapılanması, askeri ve yerel teşkilatları ve ideal devletten bahsedilmiştir. Eserde adalet, devlet, kanaat ve akıl olmak üzere dört kavram üzerinde durulmuştur. Sözü edilen eser aşağıdakilerden hangisidir?","Atabetü'l Hakayık","Divan-ı Hikmet","Kutadgu Bilig","Divan-ü Lügat'it Türk","Divan-ı Sultan","C"
"Aşağıdakilerden hangisi Türkiye Selçuklu Devleti'nin Moğollara karşı ağır yenilgi aldığı Kösedağ Savaşı sonrası yaşanan gelişmelerden biri değildir?","Anadolu Türk siyasi birliği bozulmıştır.","Selçuklular yıkılma sürecine girmiştir.","Anadolu'da ticari canlılık zayıflamış bilim ve kültürel faaliyetler durmuştur.","Selçuklu sultanları ülkeyi Moğolların bir valisi gibi yönetmiştir.","Anadolu'nun birçok yerinde atabeylikler kurulmuştur.","E"
"I. Karatay Medresesi II. Cacabey Medresesi III. Gök Medrese Yukarıda verilenlerden hangileri Türkiye Selçuklu Devleti'nde rasathane olarak da kullanılmıştır?","Yalnız I","Yalnız II","I ve II","I ve III","I, II ve III","B"
"I. Kubadabad Sarayı II. Alay Han III. Ayşe Bibi Türbesi Yukarıda verilen mimari eserlerden hangileri Türkiye Selçuklu Dönemi'ne ait değildir?","Yalnız I","Yalnız II","Yalnız III","I ve III","II ve III","C"
"I. Çini II. Yazı III. Minyatür Yukarıda verilenlerden hangileri Türkiye Selçuklu Devleti'nde mimaride kullanılmıştır?","Yalnız I","Yalnız II","I ve II","I ve III","I, II ve III","C"
"I. Mesnevi - Mevlana C. Rumi II. Makalat - Hacı Bayram Veli III. Fihi Mafih - Fuzuli Yukarıda verilen eser-yazar eşleştirmelerinden hangileri doğru değildir?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","D"
"I. Bursa II. Konya III. Edirne Yukarıda verilen kentlerden hangileri Türkiye Selçuklu Devleti'nde devlet merkezi olarak kullanılmıştır?","Yalnız I","Yalnız II","I ve II","I ve III","II ve III","B"
"Türkiye Selçuklu Devleti'nde toplum; Türk, Ermeni, Rum, Arap, Gürcü gibi farklı din ve inanıştan topluluklardan oluşuyordu. Sosyal tabakalaşmanın olmadığı Selçuklu toplumunda halk ekonomik ve kültürel faaliyetler konusunda serbest bırakılmıştır. Buna göre aşağıdaki yargılardan hangisi söylenebilir?","Halkın önemli bir çoğunluğu göçebedir.","Ülkede Türk - Müslüman unsurların sayıları daha fazladır.","Halk ülke yönetiminde söz sahibidir.","Anadolu'da İslam'ın yayılması için çaba sarf edilmiştir.","Anadolu'da adil ve hoşgörülü bir politika yürütülmüştür.","E"
"Türk tarihinde ilk kez Osmanlı padişahları tarafından kullanılan unvan aşağıdakilerden hangisidir?","Han","Halife","Sultan","Hakan","Bey","C"
"Şeyhülislamın divanda alınan kararlara fetva verme yetkisinin olması; I. devlet işlerinde dini esasların dikkate alındığı, II. Şeyhülislamın dini otorite konumunda olduğu, III. şeyhülislamın seyfiye sınıfında yer aldığı durumlarından hangilerini göstermektedir?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","C"
"Osmanlı Devleti'nde aşağıdakilerden hangisi olağanüstü durumlarda toplanan divandır?","İkindi divanı","Ayak divanı","Galebe divanı","Çarşamba divanı","Cuma divanı","B"
"Aşağıdakilerden hangisi Topkapı Sarayı'nın bölümlerinden biri olan enderunun özellikleri arasında yer almaz?","Sarayın iç bölümüdür.","İlk defa II. Murat zamanında Edirne Sarayı'nda kurulmuştur.","Padişahın güvenilir hizmetkârları bu bölümde yer almaktadır.","Bu bölümden yeniçeri ağası sorumludur.","Devlet adamları bu bölümde yetiştirilmektedir.","D"
"I. Çiftbozan II. İspenç III. Haraç Yukarıdakilerden hangileri sadece gayrimüslimlerden alınan vergi türleri arasında yer almaktadır?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","D"
"Osmanlı Devleti'nde mutlak güce sahip olan padişahların tahta çıktıklarında yayımladıkları bir tür genelgedir. Kanunlara uyulması ve hiç kimsenin herhangi bir haksızlığa uğratılmaması konuları hakkında kaleme alınır. Yukarıda padişahların sahip olduğu yasama yetkisinden hangisine değinilmiştir?","Berat","Müsadere","Adaletname","Kanunname","Yasakname","C"
"Aşağıda sancak sistemi ile ilgili verilen ifadelerden hangisi doğru değildir?","Sancak sistemini başlatan Orhan Bey'dir.","Sancak sistemi ile tahta çıkan ilk padişah I. Murat'tır.","Sancak sistemini yasallaştıran II. Murat'tır.","Sancakta yetişerek tahta çıkan son padişah III. Mehmet'tir.","Sancağa çıkmadan ilk padişah olan I. Ahmet'tir.","C"
"Aşağıdaki vergi türlerinden hangisinin açıklaması doğru verilmemiştir?","Bac: Çarşı ve pazar esnafından alınan vergidir.","Cerime: Suçlulardan alınan vergidir.","Avarız: Küçükbaş hayvan üzerinden alınan vergidir.","Resmi çift: Müslümandan alınan toprak vergisidir.","Cizye: Gayrimüslimlerden askere gitmemesi karşılığında alınan vergidir.","C"
"Osmanlı Devleti'nde şehre gelen malların perakendecilere dağıtılmak üzere toplandığı aynı zamanda karaborsa, aşırı fiyat artışı ve tekelleşmenin önüne geçmek için kurulmuş ticari mekânlardır. Sözü edilen ticari mekân aşağıdakilerden hangisidir?","Bedesten","Arasta","Panayır","Ribat","Kapan","E"
"I. İç ve dış yazışmaların yürütülmesi II. Davaların görülmesi III. Hazine arazilerinin kayıtlarının oluşturulması Yukarıdakilerden hangileri Osmanlı Devleti'nde kalemiye sınıfının görev ve yetkileri arasında yer almaktadır?","Yalnız I","Yalnız II","Yalnız III","I ve III","I, II ve III","D"
"Divan-ı Hümayun üyelerinden olan kazaskerin; I. divana gelen davalara bakması, II. kadı ve müderrislerin atamasını yapması, III. noterlik görevini yürütmesi faaliyetlerinden hangileri görev ve sorumlulukları arasında yer almaktadır?","Yalnız I","Yalnız II","Yalnız III","I ve II","II ve III","D"
"Osmanlı Devleti mutlak monarşi ile yönetildiği için padişah mutlak otorite sayılırdı. Padişah gerektiğinde toplumsal ve ekonomik kuralları değiştirebilirdi. Fakat bu ve benzeri değişiklikler dini hükümlere aykırı olamazdı. Bu bilgilere göre; I. Padişahlar yasa koyarken tamamen bağımsız değildir. II. Ülke yönetiminde teokratik bir yapı vardır. III. Padişahlar örfi hukuk üzerinde etkili olmuştur. yargılarından hangilerine ulaşılabilir?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","E"
"Osmanlı Devleti'nde gelirleri sınır boylarındaki görevlerine karşılık, akıncılara ve kale muhafızlarına verilen topraklara verilen ad aşağıdakilerden hangisidir?","Yurtluk","Paşmaklık","Malikane","Ocaklık","Mukataa","A"
"Aşağıdakilerden hangisi tımar sisteminin faydaları arasında yer almaz?","Feodal yapının oluşmasını engeller.","Üretimde sürekliliği sağlar","Yerleşik hayatı özendirir.","Bayındırlık faaliyetini arttırır.","Hazinenin sıcak para ihtiyacını karşılar.","E"
"Aşağıdakilerden hangisi Osmanlı Devleti'nde Kapıkulu süvarileri arasında yer alan askeri sınıflardan biridir?","Humbaracılar","Silahtarlar","Azaplar","Beşliler","Cebeciler","B"
"Osmanlı Devleti'nde mali gelirlerin önemli bir kısmı vergilerden sağlanırdı. Vergiler şeri ve örfi olmak üzere iki kısma ayrılırdı. Aşağıdaki vergi türlerinden hangisinin açıklaması yanlış verilmiştir?","Reftiye: Önemli geçitlerden alınırdı.","Ağnam: Küçükbaş hayvan üzerinden alınırdı.","Bennak: Evli erkekten yarım çift toprak karşılığında alınırdı.","İspenç: Gayrimüslimlerden toprak üzerinden alınırdı.","Çift resmi: Müslümanlardan toprak üzerinden alınırdı.","A"
"XVII. yüzyılda Kapıkulu Ocağına askerlikle ilgisi olmayan birçok alımın yapılması Yeniçeri İsyanlarına neden olurken diğer yandan ise Anadolu'da halkın da dahil olduğu Celâli isyanları yaşanmıştır. Bu gelişmeler devletin; I. ekonomik, II. askeri, III. sosyal alanlarından hangileriyle ilgili sorunlar yaşamasına yol açmıştır?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","E"
"Duraklama Dönemi'nde ilmiye sınıfının bozulması; I. eğitim, II. hukuk, III. askeri alanlarından hangilerini doğrudan etkilemiştir?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","C"
"Aşağıdakilerden hangisi Duraklama Dönemi ıslahat hareketlerinin özellikleri arasında gösterilemez?","Sorunların gerçek nedenleri araştırılmamıştır.","Islahatlar geleneksel yapıda olmuştur.","Islahatlar devlet politikası haline getirilmemiş, şahıslarla sınırlı kalmıştır.","Baskı ve şiddet yoluna gidilmiştir.","Batı'daki gelişmeler örnek alınmıştır.","E"
"I. İlk denk bütçenin yapılması II. Yeniçeri Ocağının kaldırılmak istenmesi III. Saray masraflarının kısıtlanması IV. Şer'i mahkemelerin yanında karma mahkemelerin kurulması. Yukarıdakilerden hangileri Duraklama Dönemi ıslahat çalışmaları arasında yer almaz?","Yalnız I","Yalnız IV","I ve IV","II ve III","I, II ve III","B"
"XVII. yüzyılda Batı'nın bilim ve tekniği takip edilememiş, medreselerde pozitif bilimler göz ardı edilmiş, devlet kademelerinde rüşvet ve iltimas yaygın hale gelmişti. Bu durumun Osmanlı Devleti'nde aşağıdakilerden hangisine neden olduğu söylenemez?","Eğitim sisteminin çağın gerisinde kalmasına","Bürokrasi sınıfının bozulmasına","Yönetimde aksamaların yaşanmasına","Yeniliklerden uzak gelenekçi yapının devam etmesine","Hukuk alanında ikiliklerin ortaya çıkmasına","E"
"Yeniçeri Ocağında 'Ocak devlet içindir.' anlayışı egemen iken XVII. yüzyıldan itibaren yerini 'Devlet ocak içindir.' anlayışının alması aşağıdakilerden hangisini doğrudan etkilemiştir?","Osmanlı'nın Gerileme Dönemi'ne girdiğini","Askeri alanda Batı tarzı reformların başladığını","Yeniçerilerin yeniliklere karşı olduğunu","Ordunun yönetim üzerindeki etkinliğini artırdığını","Merkezi otoritenin korunmasında ordunun ön plana çıktığını","D"
"XVII. yüzyılda halk ile devlet arasındaki kopukluğu gidermek amacıyla saray dışında evlenerek sosyal alanda ıslahat yapan ilk padişah aşağıdakilerden hangisidir?","IV. Murat","I. Ahmet","II. Osman (Genç)","IV. Mehmet","III. Mehmet","C"
"Duraklama Dönemi'nde yaşanan aşağıdaki gelişmelerden hangisinin, ekonominin bozulması üzerinde doğrudan bir etkisi yoktur?","Ulemanın etkinliğinin artması","Sık sık taht değişikliği yaşanması","Ganimet gelirlerinin azalması","Savaşların uzun sürmesi","Dirlik sisteminin bozulması","A"
"İngiltere ile yapılan Balta Limanı Antlaşması ile % 3 olan ihracat vergisini % 12 ye çıkarmış, ithalatı ise % 5 olarak belirlemiştir. Bu durumun Osmanlı Devleti'nde; I. ülke topraklarının yabancı tüccarların açık pazarı haline gelmesi, II. yed-i vahit (tekel uygulaması) uygulamasının son bulması, III. dış ticaret açığının kapanması sonuçlarından hangisini doğurduğu söylenebilir?","Yalnız I","Yalnız II","I ve II","I ve III","II ve III","C"
"Aşağıdakilerin hangisinde herkesin kanun önünde eşit olduğuna yönelik hükümlerin yer aldığı söylenemez?","Sened-i İttifak","Tanzimat Fermanı","Islahat Fermanı","I. Meşrutiyet","II. Meşrutiyet","A"
"Aşağıdakilerden hangisi İstibdat Dönemi olarak da bilinen II. Abdülhamit'in mutlak gücünü tam olarak uyguladığı dönemde etkili olan fikir akımıdır?","İslamcılık","Osmanlıcılık","Türkçülük","Adem-i Merkeziyetçilik","Batıcılık","A"
"XIX. yüzyılda Osmanlı topraklarında Müslüman nüfusun artmasına aşağıdakilerden hangisi gerekçe olarak gösterilebilir?","Toprak kayıplarının yaşanması","Refah seviyesinin yükselmesi","Anayasal gelişmeler","Demokratik düzenlemeler","Dini hoşgörünün artması","A"
"Osmanlı Devleti Kırım Savaşı'nda galip devlet olarak çıkmasına rağmen yenilen Rusya ile aynı şartlarda antlaşmaya zorlanıp haksızlığa uğramıştır. Bu duruma Paris Antlaşması'nın aşağıdaki hangi maddesi kanıt olarak gösterilebilir?","Osmanlı toprak bütünlüğü Batılı devletlerin koruması altında olacak","Osmanlı Devleti ve Rusya Karadeniz'de donanma bulundurmayacak, tersane inşa edemeyecek","Osmanlı Devleti Avrupalı devlet kabul edilecek","Boğazların yönetimi 1841 Londra Boğazlar Sözleşmesi'ne göre yapılacak","Islahat Fermanına uyulduğu taktirde Osmanlı İçişlerine hiçbir Batılı devlet karışmayacak","B"
"Aşağıdaki hangi antlaşma ile Boğazlar ilk defa uluslararası bir statü kazanmış ve Osmanlı bir daha Boğazlar konusunda tek başına karar alamamıştır?","Hünkar İskelesi Antlaşması","1840 Londra Antlaşması","1841 Londra Boğazlar Sözleşmesi","Balta Limanı Antlaşması","Paris Antlaşması","C"
"XIX. yüzyılda yapılan aşağıdaki faaliyetlerden hangisi Osmanlı Devleti'nde merkezi otoriteyi güçlendirmeye yönelik bir adım değildir?","Demir yolu yapımına hız verilmesi","Posta örgütünün kurulması","Yeniçeri Ocağının kaldırılması","Eyaletlerde redif birliklerinin oluşturulması","Encümen-i Daniş'in kurulması","E"
"Aşağıdakilerden hangisi XIX. yüzyıl ıslahatlarının genel özellikleri arasında yer almaz?","Islahatlar devlet politikası haline getirilmiştir.","Halk ilk kez yönetime katılmıştır.","İlk kez padişahın yetkileri kısıtlanmıştır.","Avrupa'daki gelişmeleri yakından takip etmek için ilk kez sefirlik oluşturulmuştur.","İlk kez parlamento dönemi başlamıştır.","D"
"I. Dünya Savaşı'nın ardından galip devletlerin onarım ücreti adı altında manda ve himaye fikrini ortaya atarak sömürgecilik faaliyetlerine devam etmelerine aşağıdakilerden hangisi ortam oluşturmuştur?","Wilson İlkeleri","Milletler Cemiyeti","Paris Barış Konferansı","Mondros Ateşkes Antlaşması","Versay Antlaşması","A"
"Sevk ve İskân Kanunu I. Dünya Savaşı sırasında aşağıdaki hangi cephedeki gelişmelerin etkisiyle Türklere yönelik yapılan katliamların önüne geçmek amacıyla çıkarılmıştır?","Çanakkale","Kanal","Irak","Kafkas","Hicaz-Yemen","D"
"Mustafa Kemal'in mücadele ettiği aşağıdaki hangi cephe onun ilk savaşı kabul edilmektedir?","Derne - Tobruk","Bolayır","Bingazi - Trablus","Arıburnu","Kireçtepe","A"
"Aşağıdakilerden hangisi II. Balkan Savaşı'nın sonunda Osmanlı-Bulgaristan arasında imzalanan İstanbul Antlaşması'nda yer alan maddelerden biri değildir?","Meriç Nehri iki ülke arasında sınır sayılacak","Kavala ve Dedeağaç Bulgaristan'a bırakılacak","Ege adalarının durumu büyük devletlerin kararına bırakılacak","Edirne, Kırklareli ve Dimetoka Osmanlı Devleti'ne bırakılacak","Bulgaristan'da yaşayan Türkler isterlerse 4 yıl içinde Türkiye'ye göç edebilecek","C"
"Aşağıdakilerden hangisi Osmanlı Devleti'nin I. Dünya Savaşı öncesinde ittifak görüşmesi yaptığı devletler arasında yer almaz?","İngiltere","Fransa","Almanya","Bulgaristan","Rusya","D"
"Aşağıdaki cephelerin hangisinde gösterdiği başarıdan dolayı Mustafa Kemal'e 'Altın Kılıç Madalyası' verilmiştir?","Çanakkale","Suriye-Filistin","Irak","Kafkas","Kanal","D"
"Aşağıdakilerden hangisi Osmanlı Devleti'nin I. Dünya Savaşı'na girmesinin ardından yaşanan gelişmelerden biri değildir?","İngiltere'nin Kıbrıs'ı ilhak etmesi","Savaşın geniş alanlara yayılması","VI. Mehmet'in (Vahdettin) tahta çıkması","Gizli antlaşmaların yapılması","Almanya'nin cephe yükünden kurtulması","D"
"Osmanlı Devleti I. Dünya Savaşı'nda açılan aşağıdaki cephelerin hangisinde diğerlerinden farklı bir amaç için savaşmıştır?","Suriye","Irak","Hicaz-Yemen","Çanakkale","Galiçya","E"
"Mondros Ateşkes Antlaşması'nda aşağıdaki konulardan hangisine yönelik bir maddeye yer verilmemiştir?","Boğazlar","Ordu","Ulaşım ve haberleşme","Manda ve himaye","Savaş esirleri","D"
"Aşağıdakilerin hangisinde Mustafa Kemal'in bir katkısı olmamıştır?","31 Mart Olayı'nın bastırılmasında","Trablusgarp'ın savunulmasında","Bab-ı Ali Baskını'nın yapılmasında","Muş ve Bitlis'in Rus işgalinden kurtarılmasında","Çanakkale Boğazı'nın savunulmasında","C"
"I. İtalya'nın Çanakkale istihkamlarını topa tutması II. Balkan İttifakı'nın gerçekleşmesi III. Babı-Ali Baskını Yukarıda verilen gelişmelerden hangileri Osmanlı Devleti'nin Uşi Antlaşması'nı imzalamasını hızlandırdığı savunulabilir?","Yalnız I","Yalnız II","I ve II","I ve III","I, II ve III","C"
"Aşağıdakilerden hangisi Balkan Savaşları sonucunda kaybedilen yerlerden biri değildir?","Selanik","Makedonya","Girit","Romanya","Dedeağaç","D"
"II. Balkan Savaşı'nda Osmanlı Devleti aşağıdaki hangi devlete karşı savaşmıştır?","Arnavutluk","Karadağ","Sırbistan","Romanya","Bulgaristan","E"
"I. ABD II. Rusya III. Bulgaristan IV. Yunanistan Yukarıda verilen devletlerden hangileri I. Dünya Savaşı'nın başında yer almayıp daha sonradan katılmıştır?","I ve II","I ve III","II ve III","II ve IV","I, III ve IV","E"
"Aşağıdaki seçeneklerin hangisinde Osmanlı Devleti'nin I. Dünya Savaşı'nda açtığı taarruz cepheleri doğru verilmiştir?","Kafkas - Kanal","Hicaz - Yemen","Suriye - Filistin","Çanakkale - Irak","Galiçya - Irak","A"
"Aşağıdaki komutanlardan hangisi Çanakkale Savaşı'nda gösterdiği başarıdan dolayı '18 Mart Kahramanı' olarak anılmıştır?","Kazım Karabekir","Cevat (Çobanlı) Paşa","Esat Paşa","Refet Bele","Halil Sami Paşa","B"
"Mustafa Kemal'in Milli Mücadele sürecinde bütün yetkilerini kaybettiği ve sivil bir insan olarak 'sine-i millete' dönerek gerçekleştirdiği ilk faaliyeti aşağıdakilerden hangisidir?","Amasya Genelgesi","Sivas Kongresi","Erzurum Kongresi","Amasya Görüşmesi","Havza Genelgesi","C"
"Mustafa Kemal Anadolu'ya geçtikten sonra yaptığı uyarılarda halktan azınlıklara yönelik düşmanca tavırlardan kaçınılması gerektiğini istemiştir. Buna göre Mustafa Kemal aşağıdakilerden hangisini amaçlamış olabilir?","Azınlıkların ayrıcalıklı hale gelmesini önlemek","Birlik ve beraberliği sağlamak","Mondros'un 7. maddesinin uygulanmasının önüne geçmek","Azınlıkların işgalci güçlerle ortak hareket etmesine engel olmak","Düzenli ordunun kurulması için zaman kazanmak","C"
"Aşağıdakilerden hangisi Misak-ı Milli kararlarında halkoyuna başvurulması istenen yerlerden biri değildir?","Kars","Ardahan","Batı Trakya","Musul","Batum","D"
"Mustafa Kemal yayımladığı genelgede 'Artık mücadelem padişahı bu hakaretten kurtarmaya yöneliktir' açıklamasını aşağıdaki hangi gelişme üzerine ifade etmiştir?","Ordunun terhis edilmesi","İstanbul'un resmen işgal edilmesi","Sivas Kongresi'nde Temsil Heyeti başkanı seçilmesi","Temsil Heyetinin Ankara'ya gelmesi","Damat Ferit Hükümetinin istifa etmesi","B"
"I. Erzurum Kongresi II. Misak-ı Milli III. Sivas Kongresi Yukarıdakilerin hangilerinde alınan kararlarda milli sınırlardan söz edilmiştir?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","E"
"Aşağıdakilerin hangisinde alınan kararla Milli Mücadele unsurlarının tamamı merkezi bir örgütlenmeye gitmiştir?","Balıkesir-Alaşehir Kongresi","Havza Genelgesi","Amasya Genelgesi","Erzurum Kongresi","Sivas Kongresi","E"
